category,level,outcome,outcome_level,n,Unnamed: 5
CC144,1,DD13,4730,5,
CC144,1,DD13,3670,5,
CC144,1,DD13,2845,5,
CC144,1,DD13,4072,5,
CC144,1,DD13,3625,5,
CC144,1,DD13,2690,5,
CC144,1,DD13,2740,5,
CC144,1,DD13,3412,5,
CC144,1,DD13,3430,5,
CC144,1,DD13,4110,5,
CC144,1,DD13,3280,5,
CC144,1,DD13,4060,5,
CC144,1,DD13,4350,5,
CC144,1,DD13,3500,5,
CC144,1,DD13,3140,5,
CC144,1,DD13,3860,5,
CC144,1,DD13,3410,5,
CC144,1,DD13,3550,5,
CC144,1,DD13,3390,5,
CC144,1,DD13,3070,5,
CC144,1,DD13,2840,5,
CC144,1,DD13,2890,5,
CC144,1,DD13,3540,5,
CC144,1,DD13,3890,5,
CC144,1,DD13,2790,5,
CC144,1,DD13,2610,5,
CC144,1,DD13,2780,5,
CC144,1,DD13,3020,5,
CC144,1,DD13,3675,5,
CC144,1,DD13,2680,5,
CC144,1,DD13,2945,5,
CC144,1,DD13,3480,5,
CC144,1,DD13,3990,5,
CC144,1,DD13,3610,5,
CC144,1,DD13,3930,5,
CC144,1,DD13,2723,5,
CC144,1,DD13,3250,5,
CC144,1,DD13,2030,5,
