category,level,outcome,outcome_level,n
CC391,1,DD13,4110,5
CC391,1,DD13,4170,5
CC391,1,DD13,3790,10
CC391,1,DD13,3630,10
CC391,1,DD13,3295,5
CC391,1,DD13,3758,5
CC391,1,DD13,3300,5
CC391,1,DD13,3650,10
CC391,1,DD13,4322,5
CC391,1,DD13,2984,5
CC391,1,DD13,3340,5
CC391,1,DD13,2520,5
CC391,1,DD13,3670,10
CC391,1,DD13,1310,5
CC391,1,DD13,3815,5
CC391,1,DD13,0,130
CC391,1,DD13,3700,10
CC391,1,DD13,3730,5
CC391,1,DD13,3640,10
CC391,1,DD13,3220,5
CC391,1,DD13,4100,5
CC391,1,DD13,3326,5
CC391,1,DD13,3020,5
CC391,1,DD13,2890,5
CC391,1,DD13,3110,5
CC391,1,DD13,3235,5
CC391,1,DD13,2765,5
CC391,1,DD13,2916,5
CC391,1,DD13,4419,5
CC391,1,DD13,3230,10
CC391,1,DD13,2960,5
CC391,1,DD13,2970,5
CC391,1,DD13,4125,5
CC391,1,DD13,3600,10
CC391,1,DD13,3830,5
CC391,1,DD13,3480,10
CC391,1,DD13,3590,5
CC391,1,DD13,2240,5
CC391,1,DD13,3550,5
CC391,1,DD13,4650,5
CC391,1,DD13,3560,5
CC391,1,DD13,3200,10
CC391,1,DD13,3860,20
CC391,1,DD13,3820,10
CC391,1,DD13,3510,5
CC391,1,DD13,3525,5
CC391,1,DD13,3290,5
CC391,1,DD13,2945,5
CC391,1,DD13,3360,5
CC391,1,DD13,3495,5
CC391,1,DD13,2730,5
CC391,1,DD13,2338,5
CC391,1,DD13,1960,5
CC391,1,DD13,4225,5
CC391,1,DD13,3050,5
CC391,1,DD13,3760,10
CC391,1,DD13,4290,5
CC391,1,DD13,3120,5
CC391,1,DD13,4890,5
CC391,1,DD13,2743,5
CC391,1,DD13,3010,5
CC391,1,DD13,4200,5
CC391,1,DD13,4560,5
CC391,1,DD13,3330,10
CC391,1,DD13,3160,5
CC391,1,DD13,2132,5
CC391,1,DD13,2650,5
CC391,1,DD13,3784,5
CC391,1,DD13,2210,5
CC391,1,DD13,3850,10
CC391,1,DD13,4076,5
CC391,1,DD13,3800,10
CC391,1,DD13,4800,5
CC391,1,DD13,3305,5
CC391,1,DD13,3915,5
CC391,1,DD13,3410,5
CC391,1,DD13,4310,5
CC391,1,DD13,3654,5
CC391,1,DD13,3660,5
CC391,1,DD13,3930,5
CC391,1,DD13,4090,5
CC391,1,DD13,2780,5
CC391,1,DD13,1900,5
CC391,1,DD13,3085,5
CC391,1,DD13,4026,5
CC391,1,DD13,3890,5
CC391,1,DD13,2830,5
CC391,1,DD13,3490,5
CC391,1,DD13,2825,5
CC391,1,DD13,705,5
CC391,1,DD13,3870,5
CC391,1,DD13,2845,5
CC391,1,DD13,3750,5
CC391,1,DD13,4480,5
CC391,1,DD13,3940,5
CC391,1,DD13,3575,5
CC391,1,DD13,4080,5
CC391,1,DD13,4450,5
CC391,1,DD13,3540,5
CC391,1,DD13,3320,5
CC391,1,DD13,3440,10
CC391,1,DD13,3310,5
CC391,1,DD13,3520,5
CC391,1,DD13,3950,5
CC391,1,DD13,3718,5
CC391,1,DD13,3960,10
CC391,1,DD13,3725,5
CC391,1,DD13,3280,5
CC391,1,DD13,3270,10
CC391,1,DD13,3328,5
CC391,1,DD13,2912,5
CC391,1,DD13,3710,5
CC391,1,DD13,3285,5
CC391,1,DD13,4350,5
CC391,1,DD13,4250,5
CC391,1,DD13,3040,5
CC391,1,DD13,4730,5
CC391,1,DD13,5100,5
CC391,1,DD13,4072,5
CC391,1,DD13,3822,5
CC391,1,DD13,4140,5
CC391,1,DD13,4344,5
CC391,1,DD13,3740,20
CC391,1,DD13,3060,5
CC391,1,DD13,4396,5
CC391,1,DD13,4270,5
CC391,1,DD13,4210,5
CC391,1,DD13,3900,5
CC391,1,DD13,3508,5
CC391,1,DD13,4755,5
CC391,1,DD13,2980,5
CC391,1,DD13,3680,10
CC391,1,DD13,3922,5
CC391,1,DD13,2860,5
CC391,1,DD13,2410,5
CC391,1,DD13,3086,5
CC391,1,DD13,3180,5
CC391,1,DD13,3210,5
CC391,1,DD13,3000,5
CC391,1,DD13,4380,5
CC391,1,DD13,3530,5
CC391,1,DD13,3400,10
CC391,1,DD13,4410,5
CC391,1,DD13,3455,5
CC391,1,DD13,3645,5
CC391,1,DD13,3240,5
CC391,1,DD13,3532,5
CC391,1,DD13,4620,5
CC391,1,DD13,4415,5
CC391,1,DD13,4430,5
CC391,1,DD13,4860,5
CC391,1,DD13,2870,5
CC391,1,DD13,3580,10
