category,level,outcome,outcome_level,n,Unnamed: 5
CC388,0,DD14,52,10420,
CC388,0,DD14,53,6100,
CC388,0,DD14,50,14550,
CC388,0,DD14,49,9470,
CC388,0,DD14,51,13230,
CC388,0,DD14,58,30,
CC388,0,DD14,48,5870,
CC388,0,DD14,55,1160,
CC388,0,DD14,45,830,
CC388,0,DD14,47,3120,
CC388,0,DD14,46,1560,
CC388,0,DD14,49.5,140,
CC388,0,DD14,54,2960,
CC388,0,DD14,41,130,
CC388,0,DD14,44,470,
CC388,0,DD14,30,10,
CC388,0,DD14,32,20,
CC388,0,DD14,36,50,
CC388,0,DD14,56,370,
CC388,0,DD14,49.3,5,
CC388,0,DD14,61,5,
CC388,0,DD14,51.5,130,
CC388,0,DD14,37,40,
CC388,0,DD14,42,190,
CC388,0,DD14,48.5,90,
CC388,0,DD14,52.5,110,
CC388,0,DD14,40,120,
CC388,0,DD14,42.5,20,
CC388,0,DD14,46.5,40,
CC388,0,DD14,57,120,
CC388,0,DD14,45.5,30,
CC388,0,DD14,39.5,5,
CC388,0,DD14,43,310,
CC388,0,DD14,48.1,5,
CC388,0,DD14,53.5,80,
CC388,0,DD14,33,20,
CC388,0,DD14,43.5,30,
CC388,0,DD14,48.6,5,
CC388,0,DD14,27.5,5,
CC388,0,DD14,71,5,
CC388,0,DD14,50.5,100,
CC388,0,DD14,59,5,
CC388,0,DD14,39,60,
CC388,0,DD14,48.4,5,
CC388,0,DD14,53.6,5,
CC388,0,DD14,27,5,
CC388,0,DD14,50.2,5,
CC388,0,DD14,54.5,30,
CC388,0,DD14,47.5,70,
CC388,0,DD14,48.2,5,
CC388,0,DD14,47.8,5,
CC388,0,DD14,56.5,5,
CC388,0,DD14,53.1,5,
CC388,0,DD14,53.2,5,
CC388,0,DD14,46.1,5,
CC388,0,DD14,44.5,30,
CC388,0,DD14,38,50,
CC388,0,DD14,49.9,5,
CC388,0,DD14,36.5,5,
CC388,0,DD14,51.3,5,
CC388,0,DD14,34,30,
CC388,0,DD14,51.1,5,
CC388,0,DD14,35,30,
CC388,0,DD14,49.4,10,
CC388,0,DD14,37.5,10,
CC388,0,DD14,38.5,5,
CC388,0,DD14,32.5,5,
CC388,0,DD14,40.5,10,
CC388,0,DD14,26,5,
CC388,0,DD14,45.6,5,
CC388,0,DD14,41.5,20,
CC388,0,DD14,49.6,5,
CC388,0,DD14,55.5,10,
CC388,0,DD14,52.6,5,
CC388,0,DD14,52.3,5,
CC388,0,DD14,64,5,
CC388,0,DD14,50.3,10,
CC388,0,DD14,33.5,5,
CC388,0,DD14,51.6,5,
CC388,0,DD14,51.2,5,
CC388,0,DD14,62,5,
CC388,0,DD14,63,5,
CC388,0,DD14,54.1,5,
CC388,0,DD14,52.2,5,
CC388,0,DD14,52.1,5,
CC388,0,DD14,23,5,
CC388,0,DD14,53.9,5,
CC388,0,DD14,49.8,5,
CC388,0,DD14,57.5,5,
CC388,0,DD14,40.2,5,
CC388,0,DD14,34.4,5,
CC388,0,DD14,49.7,5,
CC388,0,DD14,70,5,
CC388,0,DD14,28,5,
CC388,0,DD14,38.2,5,
CC388,0,DD14,31,5,
CC388,0,DD14,29,5,
CC388,0,DD14,53.3,5,
CC388,0,DD14,37.2,5,
CC388,0,DD14,34.5,5,
CC388,0,DD14,53.4,5,
CC388,0,DD14,69,5,
CC388,0,DD14,55.1,5,
CC388,0,DD14,50.6,5,
CC388,0,DD14,41.1,5,
CC388,0,DD14,48.3,5,
CC388,0,DD14,41.4,5,
CC388,0,DD14,48.7,5,
CC388,0,DD14,43.2,5,
CC388,0,DD14,42.3,5,
CC388,0,DD14,49.1,5,
CC388,0,DD14,22,5,
CC388,0,DD14,52.9,5,
CC388,0,DD14,48.9,5,
CC388,0,DD14,51.7,5,
CC388,0,DD14,35.5,5,
CC388,0,DD14,46.6,5,
CC388,0,DD14,74,5,
CC388,0,DD14,54.3,5,
CC388,0,DD14,52.8,5,
CC388,0,DD14,47.7,5,
CC388,0,DD14,65,5,
CC388,0,DD14,60,5,
CC388,0,DD14,49.2,5,
CC388,0,DD14,40.6,5,
CC388,0,DD14,50.7,5,
CC388,0,DD14,48.8,5,
CC388,0,DD14,51.8,5,
CC388,0,DD14,52.7,5,
CC388,0,DD14,46.8,5,
CC388,0,DD14,54.4,5,
CC388,0,DD14,34.2,5,
CC388,0,DD14,50.1,5,
CC388,0,DD14,43.6,5,
CC388,0,DD14,44.7,5,
CC388,0,DD14,50.8,5,
CC388,0,DD14,51.9,5,
