category,level,outcome,outcome_level,n,Unnamed: 5
CC141,1,DD13,4150,5,
CC141,1,DD13,2984,5,
CC141,1,DD13,3750,5,
CC141,1,DD13,4480,5,
CC141,1,DD13,4840,5,
CC141,1,DD13,3590,5,
CC141,1,DD13,3510,5,
CC141,1,DD13,3390,5,
CC141,1,DD13,3385,5,
CC141,1,DD13,2960,5,
CC141,1,DD13,4045,5,
CC141,1,DD13,3960,5,
CC141,1,DD13,4052,5,
CC141,1,DD13,4225,5,
CC141,1,DD13,3860,5,
CC141,1,DD13,3830,5,
CC141,1,DD13,2850,5,
CC141,1,DD13,2970,5,
CC141,1,DD13,4190,5,
CC141,1,DD13,3800,5,
CC141,1,DD13,2995,5,
CC141,1,DD13,3210,5,
CC141,1,DD13,2930,5,
CC141,1,DD13,4075,5,
CC141,1,DD13,2854,5,
CC141,1,DD13,3670,5,
CC141,1,DD13,4320,5,
CC141,1,DD13,3650,5,
CC141,1,DD13,3730,5,
CC141,1,DD13,3995,5,
CC141,1,DD13,3470,5,
CC141,1,DD13,3240,5,
CC141,1,DD13,3970,5,
CC141,1,DD13,3740,5,
CC141,1,DD13,2545,5,
CC141,1,DD13,1598,5,
CC141,1,DD13,2840,5,
CC141,1,DD13,3900,5,
CC141,1,DD13,3660,5,
CC141,1,DD13,3450,5,
CC141,1,DD13,3700,5,
CC141,1,DD13,4122,5,
CC141,1,DD13,3600,5,
CC141,1,DD13,2690,5,
CC141,1,DD13,3120,5,
CC141,1,DD13,3734,5,
CC141,1,DD13,4610,5,
CC141,1,DD13,4350,5,
CC141,1,DD13,3345,5,
CC141,1,DD13,3400,5,
CC141,1,DD13,3910,5,
CC141,1,DD13,3200,5,
CC141,1,DD13,3756,5,
CC141,1,DD13,1340,5,
CC141,1,DD13,2800,5,
CC141,1,DD13,4260,5,
CC141,1,DD13,3525,5,
CC141,1,DD13,3760,5,
CC141,1,DD13,3185,5,
CC141,1,DD13,4140,5,
CC141,1,DD13,3010,5,
CC141,1,DD13,3130,5,
CC141,1,DD13,4090,5,
CC141,1,DD13,3690,5,
CC141,1,DD13,4390,5,
CC141,1,DD13,3495,5,
CC141,1,DD13,4220,5,
CC141,1,DD13,4340,5,
CC141,1,DD13,3360,5,
CC141,1,DD13,4050,5,
CC141,1,DD13,4300,5,
CC141,1,DD13,3610,5,
CC141,1,DD13,3260,5,
CC141,1,DD13,3680,5,
CC141,1,DD13,3780,5,
CC141,1,DD13,3550,5,
CC141,1,DD13,3420,5,
CC141,1,DD13,3842,5,
CC141,1,DD13,3725,5,
CC141,1,DD13,4120,5,
CC141,1,DD13,3320,5,
CC141,1,DD13,4570,5,
CC141,1,DD13,3790,5,
CC141,1,DD13,3032,5,
CC141,1,DD13,3165,5,
CC141,1,DD13,3250,5,
CC141,1,DD13,3520,5,
CC141,1,DD13,4705,5,
CC141,1,DD13,3912,5,
CC141,1,DD13,3000,5,
CC141,1,DD13,3715,5,
CC141,1,DD13,3180,5,
CC141,1,DD13,3066,5,
CC141,1,DD13,3840,5,
CC141,1,DD13,2510,5,
CC141,1,DD13,3370,5,
CC141,1,DD13,3276,5,
CC141,1,DD13,2575,5,
CC141,1,DD13,3530,5,
CC141,1,DD13,3880,5,
CC141,1,DD13,4410,5,
CC141,1,DD13,3190,5,
CC141,1,DD13,3545,5,
CC141,1,DD13,3410,5,
CC141,1,DD13,2915,5,
CC141,1,DD13,3175,5,
CC141,1,DD13,3720,5,
CC141,1,DD13,2370,5,
CC141,1,DD13,3500,5,
CC141,1,DD13,3380,5,
CC141,1,DD13,3580,5,
CC141,1,DD13,3100,5,
CC141,1,DD13,3890,5,
CC141,1,DD13,4002,5,
CC141,1,DD13,2714,5,
CC141,1,DD13,3768,5,
CC141,1,DD13,3440,5,
CC141,1,DD13,2827,5,
CC141,1,DD13,3958,5,
CC141,1,DD13,3155,5,
CC141,1,DD13,3280,5,
CC141,1,DD13,4010,5,
CC141,1,DD13,2700,5,
CC141,1,DD13,3460,5,
CC141,1,DD13,4430,5,
CC141,1,DD13,3675,5,
CC141,1,DD13,4046,5,
CC141,1,DD13,3350,5,
CC141,1,DD13,4000,5,
CC141,1,DD13,3270,5,
CC141,1,DD13,4460,5,
CC141,1,DD13,3770,5,
CC141,1,DD13,4620,5,
CC141,1,DD13,3560,5,
CC141,1,DD13,890,5,
CC141,1,DD13,2570,5,
CC141,1,DD13,2920,5,
CC141,1,DD13,3008,5,
CC141,1,DD13,3515,5,
CC141,1,DD13,4004,5,
CC141,1,DD13,4030,5,
CC141,1,DD13,4060,5,
CC141,1,DD13,2660,5,
CC141,1,DD13,3480,5,
CC141,1,DD13,2780,5,
CC141,1,DD13,3765,5,
CC141,1,DD13,3915,5,
CC141,1,DD13,3540,5,
CC141,1,DD13,2300,5,
CC141,1,DD13,2860,5,
CC141,1,DD13,2610,5,
CC141,1,DD13,3940,5,
CC141,1,DD13,3290,5,
CC141,1,DD13,4630,5,
CC141,1,DD13,3178,5,
CC141,1,DD13,3508,5,
CC141,1,DD13,3640,5,
CC141,1,DD13,3850,5,
CC141,1,DD13,3710,5,
CC141,1,DD13,4095,5,
CC141,1,DD13,4106,5,
CC141,1,DD13,2870,5,
