category,level,outcome,outcome_level,n
CC389,1,DD13,4570,5
CC389,1,DD13,2900,5
CC389,1,DD13,4120,10
CC389,1,DD13,3375,5
CC389,1,DD13,3030,5
CC389,1,DD13,3854,5
CC389,1,DD13,2780,5
CC389,1,DD13,1900,5
CC389,1,DD13,4070,30
CC389,1,DD13,3430,20
CC389,1,DD13,3085,5
CC389,1,DD13,4026,5
CC389,1,DD13,4094,5
CC389,1,DD13,3924,5
CC389,1,DD13,3232,5
CC389,1,DD13,2930,10
CC389,1,DD13,4219,5
CC389,1,DD13,2830,5
CC389,1,DD13,3490,30
CC389,1,DD13,3350,20
CC389,1,DD13,2825,5
CC389,1,DD13,3515,5
CC389,1,DD13,1620,5
CC389,1,DD13,4194,5
CC389,1,DD13,705,5
CC389,1,DD13,4700,5
CC389,1,DD13,4400,10
CC389,1,DD13,2845,5
CC389,1,DD13,3780,20
CC389,1,DD13,3785,5
CC389,1,DD13,4140,10
CC389,1,DD13,4060,10
CC389,1,DD13,2750,5
CC389,1,DD13,4480,5
CC389,1,DD13,4080,20
CC389,1,DD13,4086,5
CC389,1,DD13,3610,20
CC389,1,DD13,2870,5
CC389,1,DD13,4450,5
CC389,1,DD13,3540,20
CC389,1,DD13,3332,5
CC389,1,DD13,3560,30
CC389,1,DD13,3310,20
CC389,1,DD13,4190,10
CC389,1,DD13,2700,5
CC389,1,DD13,3445,5
CC389,1,DD13,4160,10
CC389,1,DD13,2280,5
CC389,1,DD13,3144,5
CC389,1,DD13,3520,20
CC389,1,DD13,4155,5
CC389,1,DD13,4920,5
CC389,1,DD13,3950,20
CC389,1,DD13,3912,5
CC389,1,DD13,3680,30
CC389,1,DD13,4760,5
CC389,1,DD13,3725,5
CC389,1,DD13,3722,5
CC389,1,DD13,3280,10
CC389,1,DD13,4360,10
CC389,1,DD13,3328,5
CC389,1,DD13,2912,5
CC389,1,DD13,3995,5
CC389,1,DD13,3710,10
CC389,1,DD13,3960,20
CC389,1,DD13,3885,5
CC389,1,DD13,4350,5
CC389,1,DD13,3115,5
CC389,1,DD13,3670,30
CC389,1,DD13,3040,10
CC389,1,DD13,4730,5
CC389,1,DD13,3084,5
CC389,1,DD13,2850,5
CC389,1,DD13,5100,5
CC389,1,DD13,3746,5
CC389,1,DD13,2995,5
CC389,1,DD13,2440,5
CC389,1,DD13,4072,5
CC389,1,DD13,3820,20
CC389,1,DD13,310,5
CC389,1,DD13,3930,10
CC389,1,DD13,4195,5
CC389,1,DD13,2495,5
CC389,1,DD13,1875,5
CC389,1,DD13,3175,5
CC389,1,DD13,4430,5
CC389,1,DD13,3792,5
CC389,1,DD13,3822,5
CC389,1,DD13,4830,5
CC389,1,DD13,4344,5
CC389,1,DD13,3060,10
CC389,1,DD13,4158,5
CC389,1,DD13,4396,5
CC389,1,DD13,1920,5
CC389,1,DD13,4280,10
CC389,1,DD13,4210,10
CC389,1,DD13,4435,5
CC389,1,DD13,3500,30
CC389,1,DD13,3900,20
CC389,1,DD13,3124,5
CC389,1,DD13,3586,5
CC389,1,DD13,3404,5
CC389,1,DD13,4004,5
CC389,1,DD13,2410,5
CC389,1,DD13,3086,5
CC389,1,DD13,3880,20
CC389,1,DD13,4132,5
CC389,1,DD13,3180,10
CC389,1,DD13,4380,10
CC389,1,DD13,2985,5
CC389,1,DD13,3336,5
CC389,1,DD13,4030,20
CC389,1,DD13,3775,5
CC389,1,DD13,3455,5
CC389,1,DD13,3645,5
CC389,1,DD13,2220,5
CC389,1,DD13,2630,5
CC389,1,DD13,2980,5
CC389,1,DD13,3970,10
CC389,1,DD13,3400,30
CC389,1,DD13,3532,5
CC389,1,DD13,2600,5
CC389,1,DD13,4690,5
CC389,1,DD13,2946,5
CC389,1,DD13,2646,5
CC389,1,DD13,4318,5
CC389,1,DD13,2580,5
CC389,1,DD13,4860,5
CC389,1,DD13,3892,5
CC389,1,DD13,2545,5
CC389,1,DD13,1598,5
CC389,1,DD13,2660,5
CC389,1,DD13,5035,5
CC389,1,DD13,2789,5
CC389,1,DD13,2965,5
CC389,1,DD13,3230,20
CC389,1,DD13,5340,5
CC389,1,DD13,4960,5
CC389,1,DD13,3646,5
CC389,1,DD13,2325,5
CC389,1,DD13,4015,5
CC389,1,DD13,4305,5
CC389,1,DD13,3345,5
CC389,1,DD13,4340,10
CC389,1,DD13,3064,5
CC389,1,DD13,1138,5
CC389,1,DD13,4040,20
CC389,1,DD13,2680,5
CC389,1,DD13,3228,5
CC389,1,DD13,3705,5
CC389,1,DD13,3872,5
CC389,1,DD13,3766,5
CC389,1,DD13,3155,5
CC389,1,DD13,3486,5
CC389,1,DD13,3435,5
CC389,1,DD13,3172,5
CC389,1,DD13,2974,5
CC389,1,DD13,2640,5
CC389,1,DD13,3644,5
CC389,1,DD13,3294,5
CC389,1,DD13,3845,5
CC389,1,DD13,4255,5
CC389,1,DD13,3604,5
CC389,1,DD13,4640,5
CC389,1,DD13,2450,5
CC389,1,DD13,1790,5
CC389,1,DD13,1755,5
CC389,1,DD13,1876,5
CC389,1,DD13,3308,5
CC389,1,DD13,3526,5
CC389,1,DD13,4075,5
CC389,1,DD13,4238,5
CC389,1,DD13,3316,5
CC389,1,DD13,3855,5
CC389,1,DD13,3914,5
CC389,1,DD13,5190,5
