category,level,outcome,outcome_level,n
CC388,1,DD14,51,1370
CC388,1,DD14,50,1570
CC388,1,DD14,52,1030
CC388,1,DD14,54,350
CC388,1,DD14,53,640
CC388,1,DD14,47,340
CC388,1,DD14,49,950
CC388,1,DD14,48,600
CC388,1,DD14,43,30
CC388,1,DD14,0,820
CC388,1,DD14,45,110
CC388,1,DD14,46,170
CC388,1,DD14,39,5
CC388,1,DD14,55,110
CC388,1,DD14,49.5,10
CC388,1,DD14,57,10
CC388,1,DD14,54.5,5
CC388,1,DD14,47.5,5
CC388,1,DD14,42,20
CC388,1,DD14,50.5,10
CC388,1,DD14,44,50
CC388,1,DD14,51.5,10
CC388,1,DD14,56,30
CC388,1,DD14,33,5
CC388,1,DD14,52.5,10
CC388,1,DD14,46.5,5
CC388,1,DD14,48.5,5
CC388,1,DD14,41,20
CC388,1,DD14,45.5,5
CC388,1,DD14,44.5,5
CC388,1,DD14,53.5,10
CC388,1,DD14,39.5,5
CC388,1,DD14,34.5,5
CC388,1,DD14,40,10
CC388,1,DD14,42.5,5
CC388,1,DD14,41.5,5
CC388,1,DD14,58,5
CC388,1,DD14,50.6,5
CC388,1,DD14,38.5,5
CC388,1,DD14,55.5,5
CC388,1,DD14,37,5
CC388,1,DD14,49.9,5
CC388,1,DD14,38,5
CC388,1,DD14,51.6,5
CC388,1,DD14,36,5
CC388,1,DD14,32,5
CC388,1,DD14,35,5
CC388,1,DD14,63,5
CC388,1,DD14,9,5
CC388,1,DD14,70,5
CC388,1,DD14,48.4,5
CC388,1,DD14,31.5,5
CC388,1,DD14,34,5
CC388,1,DD14,57.5,5
CC388,1,DD14,50.3,5
CC388,1,DD14,52.3,5
CC388,1,DD14,40.5,5
CC388,1,DD14,26,5
CC388,1,DD14,43.5,5
