category,level,outcome,outcome_level,n,Unnamed: 5
CC143,1,DD13,2984,5,
CC143,1,DD13,3385,5,
CC143,1,DD13,4072,5,
CC143,1,DD13,4240,5,
CC143,1,DD13,3830,5,
CC143,1,DD13,3500,5,
CC143,1,DD13,4410,5,
CC143,1,DD13,2680,5,
CC143,1,DD13,3790,5,
CC143,1,DD13,3850,5,
CC143,1,DD13,3340,5,
CC143,1,DD13,3534,5,
CC143,1,DD13,3390,5,
CC143,1,DD13,2940,5,
CC143,1,DD13,3680,5,
CC143,1,DD13,3358,5,
CC143,1,DD13,4305,5,
CC143,1,DD13,3000,5,
CC143,1,DD13,3070,5,
CC143,1,DD13,2840,5,
CC143,1,DD13,4000,5,
CC143,1,DD13,3020,5,
CC143,1,DD13,3675,5,
CC143,1,DD13,3170,5,
CC143,1,DD13,3430,5,
CC143,1,DD13,3665,5,
CC143,1,DD13,3320,5,
CC143,1,DD13,4004,5,
CC143,1,DD13,3350,5,
CC143,1,DD13,3374,5,
CC143,1,DD13,2610,5,
CC143,1,DD13,4310,5,
CC143,1,DD13,3610,5,
CC143,1,DD13,2055,5,
CC143,1,DD13,3060,5,
CC143,1,DD13,2723,5,
CC143,1,DD13,3400,5,
CC143,1,DD13,2740,5,
