category,level,outcome,outcome_level,n
CC390,1,DD14,51,400
CC390,1,DD14,52,310
CC390,1,DD14,50,430
CC390,1,DD14,54,90
CC390,1,DD14,53,180
CC390,1,DD14,47,110
CC390,1,DD14,49,260
CC390,1,DD14,48,170
CC390,1,DD14,0,210
CC390,1,DD14,39,5
CC390,1,DD14,49.5,5
CC390,1,DD14,46,60
CC390,1,DD14,55,30
CC390,1,DD14,45,30
CC390,1,DD14,42,5
CC390,1,DD14,43,5
CC390,1,DD14,44,20
CC390,1,DD14,51.5,5
CC390,1,DD14,56,5
CC390,1,DD14,33,5
CC390,1,DD14,41,5
CC390,1,DD14,50.5,5
CC390,1,DD14,45.5,5
CC390,1,DD14,39.5,5
CC390,1,DD14,57,5
CC390,1,DD14,52.5,5
CC390,1,DD14,53.5,5
CC390,1,DD14,58,5
CC390,1,DD14,55.5,5
CC390,1,DD14,47.5,5
CC390,1,DD14,46.5,5
CC390,1,DD14,40,5
CC390,1,DD14,51.6,5
CC390,1,DD14,44.5,5
CC390,1,DD14,35,5
CC390,1,DD14,48.5,5
CC390,1,DD14,41.5,5
CC390,1,DD14,38,5
CC390,1,DD14,31.5,5
CC390,1,DD14,36,5
CC390,1,DD14,50.3,5
CC390,1,DD14,52.3,5
CC390,1,DD14,43.5,5
