category,level,outcome,outcome_level,n,Unnamed: 5
CC390,1,DD13,3830,10,
CC390,1,DD13,3480,20,
CC390,1,DD13,3590,5,
CC390,1,DD13,2240,5,
CC390,1,DD13,3550,10,
CC390,1,DD13,4650,5,
CC390,1,DD13,4590,5,
CC390,1,DD13,2875,5,
CC390,1,DD13,3980,5,
CC390,1,DD13,4135,5,
CC390,1,DD13,3820,10,
CC390,1,DD13,3510,10,
CC390,1,DD13,3810,10,
CC390,1,DD13,3525,5,
CC390,1,DD13,3650,10,
CC390,1,DD13,3290,5,
CC390,1,DD13,2945,5,
CC390,1,DD13,3360,20,
CC390,1,DD13,3000,20,
CC390,1,DD13,3598,5,
CC390,1,DD13,3495,5,
CC390,1,DD13,2730,5,
CC390,1,DD13,2338,5,
CC390,1,DD13,1960,5,
CC390,1,DD13,4225,5,
CC390,1,DD13,3050,10,
CC390,1,DD13,4295,5,
CC390,1,DD13,3904,5,
CC390,1,DD13,4250,5,
CC390,1,DD13,4290,5,
CC390,1,DD13,3385,5,
CC390,1,DD13,3370,10,
CC390,1,DD13,3170,5,
CC390,1,DD13,3475,5,
CC390,1,DD13,3860,20,
CC390,1,DD13,4500,5,
CC390,1,DD13,4890,5,
CC390,1,DD13,2743,5,
CC390,1,DD13,3010,5,
CC390,1,DD13,4200,5,
CC390,1,DD13,4530,5,
CC390,1,DD13,3666,5,
CC390,1,DD13,3160,10,
CC390,1,DD13,2132,5,
CC390,1,DD13,3690,20,
CC390,1,DD13,2650,5,
CC390,1,DD13,3784,5,
CC390,1,DD13,4050,10,
CC390,1,DD13,4076,5,
CC390,1,DD13,3070,5,
CC390,1,DD13,3800,20,
CC390,1,DD13,3240,10,
CC390,1,DD13,4800,5,
CC390,1,DD13,3870,5,
CC390,1,DD13,2405,5,
CC390,1,DD13,3305,5,
CC390,1,DD13,3410,10,
CC390,1,DD13,4310,5,
CC390,1,DD13,3654,5,
CC390,1,DD13,3660,20,
CC390,1,DD13,4850,5,
CC390,1,DD13,2420,5,
