category,level,outcome,outcome_level,n
CC392,1,DD13,4110,5
CC392,1,DD13,4170,5
CC392,1,DD13,3790,5
CC392,1,DD13,3630,10
CC392,1,DD13,3295,5
CC392,1,DD13,3250,5
CC392,1,DD13,3758,5
CC392,1,DD13,4322,5
CC392,1,DD13,2984,5
CC392,1,DD13,4000,5
CC392,1,DD13,4950,5
CC392,1,DD13,3340,5
CC392,1,DD13,1310,5
CC392,1,DD13,2490,5
CC392,1,DD13,3815,5
CC392,1,DD13,0,100
CC392,1,DD13,3700,5
CC392,1,DD13,3220,5
CC392,1,DD13,2672,5
CC392,1,DD13,4100,5
CC392,1,DD13,3326,5
CC392,1,DD13,2890,5
CC392,1,DD13,3235,5
CC392,1,DD13,2765,5
CC392,1,DD13,2900,5
CC392,1,DD13,2916,5
CC392,1,DD13,4419,5
CC392,1,DD13,2960,5
CC392,1,DD13,2970,5
CC392,1,DD13,4125,5
CC392,1,DD13,3600,10
CC392,1,DD13,3830,5
CC392,1,DD13,3480,5
CC392,1,DD13,2240,5
CC392,1,DD13,3550,5
CC392,1,DD13,3200,5
CC392,1,DD13,3500,10
CC392,1,DD13,3820,5
CC392,1,DD13,3510,5
CC392,1,DD13,3525,5
CC392,1,DD13,3290,5
CC392,1,DD13,2730,5
CC392,1,DD13,4225,5
CC392,1,DD13,3050,5
CC392,1,DD13,4290,5
CC392,1,DD13,3730,5
CC392,1,DD13,4060,5
CC392,1,DD13,3120,5
CC392,1,DD13,4890,5
CC392,1,DD13,2743,5
CC392,1,DD13,3010,5
CC392,1,DD13,4200,5
CC392,1,DD13,3330,10
CC392,1,DD13,3160,5
CC392,1,DD13,2132,5
CC392,1,DD13,2910,5
CC392,1,DD13,4470,5
CC392,1,DD13,4076,5
CC392,1,DD13,3800,10
CC392,1,DD13,4800,5
CC392,1,DD13,3915,5
CC392,1,DD13,3410,5
CC392,1,DD13,3654,5
CC392,1,DD13,3660,5
CC392,1,DD13,3930,5
CC392,1,DD13,3684,5
CC392,1,DD13,3320,5
CC392,1,DD13,3860,10
CC392,1,DD13,3085,5
CC392,1,DD13,4026,5
CC392,1,DD13,3890,5
CC392,1,DD13,2830,5
CC392,1,DD13,3490,5
CC392,1,DD13,2825,5
CC392,1,DD13,2780,5
CC392,1,DD13,3110,5
CC392,1,DD13,705,5
CC392,1,DD13,3870,5
CC392,1,DD13,3750,5
CC392,1,DD13,4480,5
CC392,1,DD13,3940,5
CC392,1,DD13,3575,5
CC392,1,DD13,4080,5
CC392,1,DD13,4450,5
CC392,1,DD13,3540,5
CC392,1,DD13,3440,5
CC392,1,DD13,3310,10
CC392,1,DD13,3520,5
CC392,1,DD13,3650,10
CC392,1,DD13,3950,5
CC392,1,DD13,4760,5
CC392,1,DD13,3718,5
CC392,1,DD13,2860,5
CC392,1,DD13,3725,5
CC392,1,DD13,3280,5
CC392,1,DD13,4360,5
CC392,1,DD13,3270,5
CC392,1,DD13,2912,5
CC392,1,DD13,3760,5
CC392,1,DD13,3285,5
CC392,1,DD13,3850,5
CC392,1,DD13,3560,5
CC392,1,DD13,4350,5
CC392,1,DD13,3185,5
CC392,1,DD13,4250,5
CC392,1,DD13,3040,5
CC392,1,DD13,4730,5
CC392,1,DD13,3300,5
CC392,1,DD13,3420,5
CC392,1,DD13,4072,5
CC392,1,DD13,3822,5
CC392,1,DD13,3740,5
CC392,1,DD13,3670,10
CC392,1,DD13,4270,5
CC392,1,DD13,4210,5
CC392,1,DD13,3900,5
CC392,1,DD13,3508,5
CC392,1,DD13,3680,5
CC392,1,DD13,2410,5
CC392,1,DD13,3086,5
CC392,1,DD13,3180,5
CC392,1,DD13,4400,5
CC392,1,DD13,3210,5
CC392,1,DD13,3000,5
CC392,1,DD13,3530,5
CC392,1,DD13,3400,5
CC392,1,DD13,4410,5
CC392,1,DD13,3455,5
CC392,1,DD13,3645,5
CC392,1,DD13,3240,5
CC392,1,DD13,3532,5
CC392,1,DD13,2600,5
CC392,1,DD13,4430,5
CC392,1,DD13,4860,5
CC392,1,DD13,3580,10
CC392,1,DD13,2545,5
CC392,1,DD13,1598,5
CC392,1,DD13,4070,5
CC392,1,DD13,4330,5
CC392,1,DD13,3430,5
CC392,1,DD13,4015,5
CC392,1,DD13,4305,5
CC392,1,DD13,3990,5
CC392,1,DD13,3980,5
CC392,1,DD13,3228,5
CC392,1,DD13,3155,5
CC392,1,DD13,3435,5
CC392,1,DD13,2986,5
CC392,1,DD13,3172,5
CC392,1,DD13,2973,5
CC392,1,DD13,4030,5
CC392,1,DD13,3450,10
CC392,1,DD13,4160,5
CC392,1,DD13,3308,5
CC392,1,DD13,4220,5
CC392,1,DD13,3140,5
CC392,1,DD13,3960,5
CC392,1,DD13,2710,5
CC392,1,DD13,3316,5
CC392,1,DD13,2690,5
CC392,1,DD13,4260,5
CC392,1,DD13,3792,5
CC392,1,DD13,4440,5
CC392,1,DD13,3230,5
CC392,1,DD13,3315,5
CC392,1,DD13,4310,5
CC392,1,DD13,4364,5
CC392,1,DD13,2754,5
CC392,1,DD13,3770,5
CC392,1,DD13,4140,5
CC392,1,DD13,3968,5
CC392,1,DD13,3260,10
CC392,1,DD13,2540,5
CC392,1,DD13,2560,5
CC392,1,DD13,3350,5
CC392,1,DD13,2520,5
CC392,1,DD13,2847,5
CC392,1,DD13,4050,5
CC392,1,DD13,4370,5
CC392,1,DD13,2905,5
CC392,1,DD13,3840,5
CC392,1,DD13,1812,5
CC392,1,DD13,4010,5
CC392,1,DD13,3390,5
CC392,1,DD13,2950,5
CC392,1,DD13,2370,5
CC392,1,DD13,2580,5
CC392,1,DD13,3195,5
CC392,1,DD13,3130,5
CC392,1,DD13,3414,5
CC392,1,DD13,3020,5
CC392,1,DD13,1296,5
CC392,1,DD13,3115,5
CC392,1,DD13,4178,5
CC392,1,DD13,2660,5
CC392,1,DD13,2930,5
CC392,1,DD13,4280,5
CC392,1,DD13,3785,5
CC392,1,DD13,4279,5
CC392,1,DD13,3215,5
CC392,1,DD13,3754,5
CC392,1,DD13,3222,5
CC392,1,DD13,3060,5
CC392,1,DD13,2700,5
CC392,1,DD13,3920,5
CC392,1,DD13,4090,5
CC392,1,DD13,2200,5
CC392,1,DD13,3810,5
CC392,1,DD13,4180,5
CC392,1,DD13,3610,5
CC392,1,DD13,3640,10
CC392,1,DD13,3331,5
CC392,1,DD13,2120,5
CC392,1,DD13,2535,5
CC392,1,DD13,3720,10
CC392,1,DD13,4075,5
CC392,1,DD13,3756,5
CC392,1,DD13,3995,5
CC392,1,DD13,4240,5
CC392,1,DD13,4095,5
CC392,1,DD13,3570,5
CC392,1,DD13,3100,5
CC392,1,DD13,2880,5
CC392,1,DD13,3838,5
CC392,1,DD13,4151,5
CC392,1,DD13,2275,5
CC392,1,DD13,4190,5
CC392,1,DD13,4230,5
CC392,1,DD13,2635,5
CC392,1,DD13,2630,5
CC392,1,DD13,4625,5
CC392,1,DD13,4660,5
CC392,1,DD13,4460,5
CC392,1,DD13,3254,5
CC392,1,DD13,2735,5
CC392,1,DD13,2485,5
CC392,1,DD13,2050,5
CC392,1,DD13,3475,5
CC392,1,DD13,4130,5
CC392,1,DD13,3370,5
CC392,1,DD13,3136,5
CC392,1,DD13,3358,5
CC392,1,DD13,4056,5
CC392,1,DD13,4120,5
CC392,1,DD13,4040,5
CC392,1,DD13,4990,5
CC392,1,DD13,3780,5
CC392,1,DD13,2940,5
CC392,1,DD13,3385,5
CC392,1,DD13,2810,5
CC392,1,DD13,3985,5
CC392,1,DD13,3456,5
CC392,1,DD13,3505,5
CC392,1,DD13,3426,5
CC392,1,DD13,4144,5
CC392,1,DD13,2759,5
CC392,1,DD13,3148,5
CC392,1,DD13,4286,5
CC392,1,DD13,4398,5
CC392,1,DD13,3690,5
CC392,1,DD13,2913,5
CC392,1,DD13,4150,5
CC392,1,DD13,5050,5
CC392,1,DD13,4425,5
CC392,1,DD13,3234,5
CC392,1,DD13,3620,5
CC392,1,DD13,3012,5
CC392,1,DD13,3150,5
CC392,1,DD13,2840,5
CC392,1,DD13,3625,5
CC392,1,DD13,4145,5
CC392,1,DD13,3644,5
CC392,1,DD13,2835,5
CC392,1,DD13,3268,5
CC392,1,DD13,3380,5
CC392,1,DD13,2450,5
CC392,1,DD13,3145,5
CC392,1,DD13,1985,5
CC392,1,DD13,3275,5
CC392,1,DD13,4315,5
CC392,1,DD13,4005,5
