category,level,outcome,outcome_level,n,Unnamed: 5
CC389,1,DD14,51,770,
CC389,1,DD14,52,580,
CC389,1,DD14,54,200,
CC389,1,DD14,50,890,
CC389,1,DD14,53,380,
CC389,1,DD14,47,200,
CC389,1,DD14,49,540,
CC389,1,DD14,48,340,
CC389,1,DD14,43,20,
CC389,1,DD14,46,110,
CC389,1,DD14,39,5,
CC389,1,DD14,55,70,
CC389,1,DD14,45,60,
CC389,1,DD14,54.5,5,
CC389,1,DD14,42,10,
CC389,1,DD14,50.5,10,
CC389,1,DD14,44,30,
CC389,1,DD14,47.5,5,
CC389,1,DD14,49.5,5,
CC389,1,DD14,51.5,5,
CC389,1,DD14,33,5,
CC389,1,DD14,52.5,5,
CC389,1,DD14,56,10,
CC389,1,DD14,41,10,
CC389,1,DD14,45.5,5,
CC389,1,DD14,44.5,5,
CC389,1,DD14,39.5,5,
CC389,1,DD14,40,5,
CC389,1,DD14,57,5,
CC389,1,DD14,53.5,5,
CC389,1,DD14,58,5,
CC389,1,DD14,38.5,5,
CC389,1,DD14,55.5,5,
CC389,1,DD14,46.5,5,
CC389,1,DD14,48.5,5,
CC389,1,DD14,49.9,5,
CC389,1,DD14,51.6,5,
CC389,1,DD14,36,5,
CC389,1,DD14,32,5,
CC389,1,DD14,37,5,
CC389,1,DD14,35,5,
CC389,1,DD14,9,5,
CC389,1,DD14,41.5,5,
CC389,1,DD14,70,5,
CC389,1,DD14,48.4,5,
CC389,1,DD14,38,5,
CC389,1,DD14,31.5,5,
CC389,1,DD14,50.3,5,
CC389,1,DD14,52.3,5,
CC389,1,DD14,26,5,
CC389,1,DD14,43.5,5,
