category,level,outcome,outcome_level,n
CC391,0,DD13,3750,580
CC391,0,DD13,4025,30
CC391,0,DD13,4300,240
CC391,0,DD13,0,7980
CC391,0,DD13,3710,420
CC391,0,DD13,3980,350
CC391,0,DD13,3250,450
CC391,0,DD13,4050,350
CC391,0,DD13,5060,10
CC391,0,DD13,3558,30
CC391,0,DD13,3580,480
CC391,0,DD13,3220,300
CC391,0,DD13,4290,150
CC391,0,DD13,2820,100
CC391,0,DD13,3200,460
CC391,0,DD13,3596,20
CC391,0,DD13,3620,460
CC391,0,DD13,3860,420
CC391,0,DD13,3320,390
CC391,0,DD13,3190,280
CC391,0,DD13,4110,250
CC391,0,DD13,4440,110
CC391,0,DD13,3110,230
CC391,0,DD13,3738,20
CC391,0,DD13,4600,120
CC391,0,DD13,4450,140
CC391,0,DD13,3950,400
CC391,0,DD13,3615,70
CC391,0,DD13,3305,30
CC391,0,DD13,3870,380
CC391,0,DD13,3520,450
CC391,0,DD13,3900,510
CC391,0,DD13,3805,40
CC391,0,DD13,3215,40
CC391,0,DD13,3090,240
CC391,0,DD13,3410,420
CC391,0,DD13,3695,50
CC391,0,DD13,3560,490
CC391,0,DD13,3670,420
CC391,0,DD13,4080,290
CC391,0,DD13,3600,670
CC391,0,DD13,3570,460
CC391,0,DD13,2515,5
CC391,0,DD13,2840,160
CC391,0,DD13,4160,260
CC391,0,DD13,4000,480
CC391,0,DD13,3826,20
CC391,0,DD13,2630,70
CC391,0,DD13,4268,10
CC391,0,DD13,3930,350
CC391,0,DD13,3180,320
CC391,0,DD13,3540,460
CC391,0,DD13,3230,340
CC391,0,DD13,3140,290
CC391,0,DD13,4400,220
CC391,0,DD13,3760,450
CC391,0,DD13,3890,380
CC391,0,DD13,3650,550
CC391,0,DD13,3285,40
CC391,0,DD13,3480,460
CC391,0,DD13,3370,390
CC391,0,DD13,3610,430
CC391,0,DD13,4165,30
CC391,0,DD13,2750,140
CC391,0,DD13,4180,250
CC391,0,DD13,2682,5
CC391,0,DD13,3510,430
CC391,0,DD13,3000,280
CC391,0,DD13,3720,460
CC391,0,DD13,3080,240
CC391,0,DD13,3800,630
CC391,0,DD13,3440,430
CC391,0,DD13,3525,50
CC391,0,DD13,2000,20
CC391,0,DD13,2650,80
CC391,0,DD13,4200,360
CC391,0,DD13,3390,380
CC391,0,DD13,3700,650
CC391,0,DD13,2970,180
CC391,0,DD13,3680,470
CC391,0,DD13,3300,500
CC391,0,DD13,3404,30
CC391,0,DD13,4480,90
CC391,0,DD13,4340,130
CC391,0,DD13,2430,50
CC391,0,DD13,2290,30
CC391,0,DD13,3330,400
CC391,0,DD13,4570,70
CC391,0,DD13,3470,430
CC391,0,DD13,1950,10
CC391,0,DD13,3830,350
CC391,0,DD13,2930,160
CC391,0,DD13,4430,110
CC391,0,DD13,3655,40
CC391,0,DD13,4310,170
CC391,0,DD13,4190,220
CC391,0,DD13,4044,10
CC391,0,DD13,4220,200
CC391,0,DD13,4370,150
CC391,0,DD13,3725,60
CC391,0,DD13,2754,10
CC391,0,DD13,4250,260
CC391,0,DD13,760,5
CC391,0,DD13,855,5
CC391,0,DD13,4040,330
CC391,0,DD13,3526,30
CC391,0,DD13,3875,40
CC391,0,DD13,2780,100
CC391,0,DD13,4350,170
CC391,0,DD13,2950,210
CC391,0,DD13,4210,200
CC391,0,DD13,3690,430
CC391,0,DD13,3790,390
CC391,0,DD13,3430,420
CC391,0,DD13,3324,10
CC391,0,DD13,3656,10
CC391,0,DD13,4170,240
CC391,0,DD13,4100,400
CC391,0,DD13,4150,280
CC391,0,DD13,3970,340
CC391,0,DD13,3585,60
CC391,0,DD13,3072,20
CC391,0,DD13,2860,140
CC391,0,DD13,4115,30
CC391,0,DD13,2890,160
CC391,0,DD13,2850,160
CC391,0,DD13,4240,180
CC391,0,DD13,3130,250
CC391,0,DD13,3400,590
CC391,0,DD13,3785,40
CC391,0,DD13,3006,5
CC391,0,DD13,4560,90
CC391,0,DD13,3022,20
CC391,0,DD13,3660,480
CC391,0,DD13,3315,50
CC391,0,DD13,3905,40
CC391,0,DD13,3070,240
CC391,0,DD13,2920,150
CC391,0,DD13,4216,10
CC391,0,DD13,3086,5
CC391,0,DD13,3040,210
CC391,0,DD13,3946,20
CC391,0,DD13,3590,420
CC391,0,DD13,3176,10
CC391,0,DD13,3565,50
CC391,0,DD13,4010,290
CC391,0,DD13,3770,450
CC391,0,DD13,3640,470
CC391,0,DD13,3445,70
CC391,0,DD13,3340,370
CC391,0,DD13,3530,420
CC391,0,DD13,3718,20
CC391,0,DD13,3450,570
CC391,0,DD13,4090,230
CC391,0,DD13,4755,5
CC391,0,DD13,3490,460
CC391,0,DD13,2980,190
CC391,0,DD13,4460,120
CC391,0,DD13,3166,10
CC391,0,DD13,3574,20
CC391,0,DD13,3415,60
CC391,0,DD13,2344,5
CC391,0,DD13,3662,10
CC391,0,DD13,4138,10
CC391,0,DD13,3910,390
CC391,0,DD13,4302,5
CC391,0,DD13,2464,5
CC391,0,DD13,2790,110
CC391,0,DD13,2990,180
CC391,0,DD13,3160,310
CC391,0,DD13,3464,30
CC391,0,DD13,3513,5
CC391,0,DD13,4230,190
CC391,0,DD13,2280,30
CC391,0,DD13,3780,460
CC391,0,DD13,3696,20
CC391,0,DD13,3956,20
CC391,0,DD13,4620,80
CC391,0,DD13,3920,350
CC391,0,DD13,3764,20
CC391,0,DD13,4550,100
CC391,0,DD13,3810,380
CC391,0,DD13,2210,20
CC391,0,DD13,4278,5
CC391,0,DD13,3421,5
CC391,0,DD13,3210,300
CC391,0,DD13,4036,20
CC391,0,DD13,5038,5
CC391,0,DD13,4012,20
CC391,0,DD13,3643,5
CC391,0,DD13,3030,230
CC391,0,DD13,3425,60
CC391,0,DD13,3326,30
CC391,0,DD13,3850,510
CC391,0,DD13,3260,370
CC391,0,DD13,4320,180
CC391,0,DD13,2954,5
CC391,0,DD13,3290,300
CC391,0,DD13,3518,20
CC391,0,DD13,3495,60
CC391,0,DD13,4315,20
CC391,0,DD13,3846,20
CC391,0,DD13,5200,10
CC391,0,DD13,4566,5
CC391,0,DD13,3651,5
CC391,0,DD13,3500,680
CC391,0,DD13,5116,5
CC391,0,DD13,3582,20
CC391,0,DD13,4330,160
CC391,0,DD13,2670,80
CC391,0,DD13,1450,10
CC391,0,DD13,3755,40
CC391,0,DD13,2730,90
CC391,0,DD13,4605,5
CC391,0,DD13,4105,30
CC391,0,DD13,3380,410
CC391,0,DD13,4265,30
CC391,0,DD13,3060,230
CC391,0,DD13,3270,350
CC391,0,DD13,4700,70
CC391,0,DD13,3622,20
CC391,0,DD13,3295,40
CC391,0,DD13,4270,190
CC391,0,DD13,3050,300
CC391,0,DD13,3275,60
CC391,0,DD13,3150,320
CC391,0,DD13,3775,70
CC391,0,DD13,3420,440
CC391,0,DD13,3360,410
CC391,0,DD13,2830,130
CC391,0,DD13,2390,30
CC391,0,DD13,1650,5
CC391,0,DD13,1960,10
CC391,0,DD13,4030,300
CC391,0,DD13,3550,520
CC391,0,DD13,3502,20
CC391,0,DD13,3216,20
CC391,0,DD13,3460,460
CC391,0,DD13,4464,5
CC391,0,DD13,4314,5
CC391,0,DD13,2486,5
CC391,0,DD13,4020,350
CC391,0,DD13,4065,40
CC391,0,DD13,3075,30
CC391,0,DD13,3240,370
CC391,0,DD13,3345,50
CC391,0,DD13,3886,20
CC391,0,DD13,3375,70
CC391,0,DD13,3642,20
CC391,0,DD13,3280,380
CC391,0,DD13,2900,230
CC391,0,DD13,3488,20
CC391,0,DD13,3630,410
CC391,0,DD13,4730,30
CC391,0,DD13,4060,320
CC391,0,DD13,2844,5
CC391,0,DD13,3645,70
CC391,0,DD13,3820,460
CC391,0,DD13,3855,30
CC391,0,DD13,2410,40
CC391,0,DD13,2360,40
CC391,0,DD13,2835,20
CC391,0,DD13,2610,50
CC391,0,DD13,4120,280
CC391,0,DD13,3796,10
CC391,0,DD13,3184,20
CC391,0,DD13,3350,460
CC391,0,DD13,3468,20
CC391,0,DD13,3990,350
CC391,0,DD13,3575,70
CC391,0,DD13,2685,20
CC391,0,DD13,4535,5
CC391,0,DD13,2460,40
CC391,0,DD13,3960,370
CC391,0,DD13,3024,5
CC391,0,DD13,4680,60
CC391,0,DD13,3120,280
CC391,0,DD13,3714,30
CC391,0,DD13,4414,5
CC391,0,DD13,3485,70
CC391,0,DD13,3730,410
CC391,0,DD13,3010,200
CC391,0,DD13,3838,20
CC391,0,DD13,3272,10
CC391,0,DD13,3584,20
CC391,0,DD13,4028,10
CC391,0,DD13,2709,5
CC391,0,DD13,3224,20
CC391,0,DD13,3344,20
CC391,0,DD13,4740,40
CC391,0,DD13,3364,20
CC391,0,DD13,4495,10
CC391,0,DD13,4406,5
CC391,0,DD13,3784,20
CC391,0,DD13,3465,60
CC391,0,DD13,4132,10
CC391,0,DD13,2018,5
CC391,0,DD13,3310,310
CC391,0,DD13,3255,40
CC391,0,DD13,2380,40
CC391,0,DD13,3606,20
CC391,0,DD13,3100,330
CC391,0,DD13,2476,5
CC391,0,DD13,3896,10
CC391,0,DD13,3880,430
CC391,0,DD13,2330,30
CC391,0,DD13,2875,30
CC391,0,DD13,2612,5
CC391,0,DD13,1640,5
CC391,0,DD13,1260,5
CC391,0,DD13,3245,40
CC391,0,DD13,3308,10
CC391,0,DD13,3516,20
CC391,0,DD13,2690,80
CC391,0,DD13,3675,60
CC391,0,DD13,5170,5
CC391,0,DD13,4500,170
CC391,0,DD13,3165,40
CC391,0,DD13,2150,20
CC391,0,DD13,3522,20
CC391,0,DD13,3025,30
CC391,0,DD13,2740,110
CC391,0,DD13,3135,40
CC391,0,DD13,2785,30
CC391,0,DD13,4470,130
CC391,0,DD13,1730,5
CC391,0,DD13,3940,390
CC391,0,DD13,3795,40
CC391,0,DD13,3455,50
CC391,0,DD13,4846,5
CC391,0,DD13,2435,10
CC391,0,DD13,4950,20
CC391,0,DD13,3740,490
CC391,0,DD13,3915,30
CC391,0,DD13,2100,20
CC391,0,DD13,2120,10
CC391,0,DD13,3848,20
CC391,0,DD13,3614,20
CC391,0,DD13,4640,50
CC391,0,DD13,3705,50
CC391,0,DD13,3924,20
CC391,0,DD13,4225,30
CC391,0,DD13,3978,10
CC391,0,DD13,3554,20
CC391,0,DD13,3712,20
CC391,0,DD13,3036,10
CC391,0,DD13,2810,90
CC391,0,DD13,3722,20
CC391,0,DD13,4334,5
CC391,0,DD13,3246,20
CC391,0,DD13,3395,40
CC391,0,DD13,4142,10
CC391,0,DD13,3112,5
CC391,0,DD13,4650,70
CC391,0,DD13,4660,50
CC391,0,DD13,4770,30
CC391,0,DD13,4172,5
CC391,0,DD13,5000,20
CC391,0,DD13,4070,260
CC391,0,DD13,3398,10
CC391,0,DD13,5040,10
CC391,0,DD13,2540,40
CC391,0,DD13,4860,20
CC391,0,DD13,3644,30
